date,ind,bubble
1928-03,Autos,1
1929-01,Chems,1
1929-01,ElcEq,1
1929-07,Util,1
1936-05,Mach,1
1937-02,Steel,1
1961-11,Smoke,1
1968-05,RlEst,1
1968-05,PerSv,1
1972-05,Fun,1
1972-06,Meals,1
1979-12,Gold,1
1980-10,Oil,1
1980-10,Cnstr,1
1999-03,Hardw,1
1999-03,Softw,1
1999-12,ElcEq,1
2000-08,Steel,1
2000-02,LabEq,1
2007-05,Steel,1
2008-06,Coal,1
1939-10,Aero,0
1946-05,Txtls,0
1954-12,Aero,0
1958-11,Drugs,0
1965-11,Aero,0
1966-01,Mines,0
1967-04,LabEq,0
1967-06,Cnstr,0
1967-06,Fun,0
1967-06,Meals,0
1976-09,Aero,0
1978-04,Hlth,0
1978-08,Softw,0
1980-04,Hlth,0
1992-10,Softw,0
1992-10,Txtls,0
1992-10,Toys,0
2003-10,Cnstr,0
2005-02,Mines,0
